"{0.006, -0.00001595976563079681}","{0.011, -0.0000610191651550902}","{0.016, -0.00012595445349671344}","{0.026, -0.0003181441870440099}","{0.04, -0.0006899446699612417}","{0.063, -0.0015081539498834502}","{0.101, -0.003044296894092728}","{0.163, -0.004857734188027633}","{0.287, -0.006282360006387769}"
"{0.006, -0.000019479769820719508}","{0.011, -0.00007322299818610823}","{0.016, -0.00015114534419605611}","{0.026, -0.00038177302445281186}","{0.04, -0.0008279336039534901}","{0.063, -0.0018097847398601402}","{0.101, -0.0036531562729112733}","{0.163, -0.00582928102563316}","{0.287, -0.007907033293778714}"
"{0.006, -7.489478103170098*^-6}","{0.011, -0.000030069644535719}","{0.016, -0.00006348331949401263}","{0.026, -0.00016261456566410515}","{0.04, -0.0003627666567725303}","{0.063, -0.0008241426339093104}","{0.101, -0.0017798736327649242}","{0.163, -0.003196233700768452}","{0.287, -0.004340473226745655}"
