"{0.038, -0.0021671713041698415}","{0.067, -0.005173280700831403}","{0.114, -0.009319598559270892}","{0.178, -0.012574528867343532}","{0.274, -0.012526434206508666}"
"{0.038, -0.002461871931015861}","{0.067, -0.00564228786222866}","{0.114, -0.009381160472948596}","{0.178, -0.012303990054172308}","{0.274, -0.014863624556206448}"
"{0.038, -0.0011140052120314553}","{0.067, -0.002772483377672462}","{0.114, -0.005377453998652176}","{0.178, -0.008202660036114874}","{0.274, -0.00915477945281659}"
