"{0.006, -0.00003193211531698306}","{0.011, -0.00011588883168850615}","{0.016, -0.00022613918425377065}","{0.026, -0.0005414883123020394}","{0.04, -0.0010968931911337421}","{0.063, -0.0020219794719079425}","{0.101, -0.0034526128210854586}","{0.163, -0.004836802716245199}","{0.287, -0.004468775091173825}"
"{0.006, -0.00003929446727099943}","{0.011, -0.00013906659802620738}","{0.016, -0.00027136702110452476}","{0.026, -0.0006497859747624472}","{0.04, -0.0013162718293604906}","{0.063, -0.002426375366289531}","{0.101, -0.00414313538530255}","{0.163, -0.005804163259494239}","{0.287, -0.0054554378312716804}"
"{0.006, -0.000014845645437695297}","{0.011, -0.000056477836138789074}","{0.016, -0.00011255416090617603}","{0.026, -0.00027238290630748023}","{0.04, -0.0005649610262878156}","{0.063, -0.0010753098703040333}","{0.101, -0.001951274629547288}","{0.163, -0.0030723068405857385}","{0.287, -0.0031705623745527456}"
