"{0.006, 0.00020959536719632264}","{0.011, 0.0008825356148637661}","{0.016, 0.0016719067346710637}","{0.026, 0.003643035827742063}","{0.04, 0.007087114522551626}","{0.063, 0.01397900753019315}","{0.101, 0.026208452199743784}","{0.163, 0.04227596379415789}","{0.287, 0.06072038634305194}"
"{0.006, 0.00007025797949073937}","{0.011, 0.0004707359927691862}","{0.016, 0.0009298557560265468}","{0.026, 0.0020520781478727216}","{0.04, 0.004043350323173484}","{0.063, 0.00812887936787273}","{0.101, 0.015804969983212094}","{0.163, 0.02735810045930863}","{0.287, 0.04464090445981307}"
"{0.006, 0.0004279598580567466}","{0.011, 0.0014331633046543203}","{0.016, 0.002689774712469726}","{0.026, 0.005798701720004442}","{0.04, 0.011155049770513016}","{0.063, 0.02157903981419392}","{0.101, 0.03890921239958164}","{0.163, 0.05843014892552241}","{0.287, 0.07494065537734217}"
