"{0.006, -0.000030227602858514927}","{0.011, -0.00011879228294600022}","{0.016, -0.0002015602491045365}","{0.026, -0.00038962608638121686}","{0.04, -0.0006586977614577416}","{0.063, -0.0010484261956008238}","{0.101, -0.0015630852668792202}","{0.163, -0.0019790757295389144}","{0.287, -0.002208422933911511}"
"{0.006, -0.00004114658576592408}","{0.011, -0.00014255073953520024}","{0.016, -0.00024187229892544377}","{0.026, -0.0004675513036574602}","{0.04, -0.0007904373137492898}","{0.063, -0.0012581114347209885}","{0.101, -0.0018757023202550641}","{0.163, -0.002374890875446697}","{0.287, -0.002650107520693813}"
"{0.006, -0.000010132525017590262}","{0.011, -0.00006336265902938732}","{0.016, -0.00011210072543482628}","{0.026, -0.00021947167568747673}","{0.04, -0.00037580115266782856}","{0.063, -0.0006096663194256882}","{0.101, -0.0009426163565839519}","{0.163, -0.0012807218988295952}","{0.287, -0.0016236062241538217}"
