"{0.006, -0.0005867241168779309}","{0.011, -0.0019473209523458179}","{0.016, -0.00343559252041532}","{0.026, -0.0068710147558018715}","{0.04, -0.011617140589137301}","{0.063, -0.017076038260938894}","{0.101, -0.02275583303041289}","{0.163, -0.026425815983100683}","{0.287, -0.02196022080133348}"
"{0.006, -0.0007151208095330017}","{0.011, -0.002140078056791316}","{0.016, -0.0037210918292981013}","{0.026, -0.007287059912992951}","{0.04, -0.012022728885649956}","{0.063, -0.01707271542651149}","{0.101, -0.021623547581874375}","{0.163, -0.02702673542106029}","{0.287, -0.02549426522875927}"
"{0.006, -0.00026343824707232886}","{0.011, -0.0010362100794274038}","{0.016, -0.0018831600650196193}","{0.026, -0.003853152615182478}","{0.04, -0.006692211432332184}","{0.063, -0.010208188634358885}","{0.101, -0.014345586093262145}","{0.163, -0.018017823614040192}","{0.287, -0.01699617681917285}"
