"{0.006, -0.00008349639955604807}","{0.011, -0.00027853974346200356}","{0.016, -0.0004730491116081668}","{0.026, -0.0009100371648720592}","{0.04, -0.001478894348115896}","{0.063, -0.002173827223536139}","{0.101, -0.0028968809146387186}","{0.163, -0.0032308623979935783}","{0.287, -0.0031495301243494624}"
"{0.006, -0.00010176846515418564}","{0.011, -0.00033424769215440424}","{0.016, -0.0005676589339298001}","{0.026, -0.001092044597846471}","{0.04, -0.001774673217739075}","{0.063, -0.0026085926682433667}","{0.101, -0.0034762570975664622}","{0.163, -0.0038770348775922937}","{0.287, -0.0037794361492193545}"
"{0.006, -0.00003748975796826233}","{0.011, -0.00014821680491280175}","{0.016, -0.0002592936125224242}","{0.026, -0.000510333947220697}","{0.04, -0.0008519371516366932}","{0.063, -0.0012995308406589048}","{0.101, -0.001826233058896885}","{0.163, -0.0022028878444287406}","{0.287, -0.0024375880085643047}"
