"{0.006, 0.00013734969953766948}","{0.011, 0.0002956371119754408}","{0.016, 0.0003632132147961522}","{0.026, 0.00045939916223983836}","{0.04, 0.0005487611168269877}","{0.063, 0.0007458224293649485}","{0.101, 0.0010075895658218411}","{0.163, 0.0009487414877869968}","{0.287, 0.0016510543027340077}"
"{0.006, 0.00007256305727666288}","{0.011, 0.00016874453740335708}","{0.016, 0.00022047947293941808}","{0.026, 0.0002845756720877581}","{0.04, 0.00033223532049180975}","{0.063, 0.00045115472178048873}","{0.101, 0.0006300342845823128}","{0.163, 0.0006343907125884209}","{0.287, 0.0012183693994155238}"
"{0.006, 0.00022733007371577646}","{0.011, 0.0004549153246794293}","{0.016, 0.0005346329482098875}","{0.026, 0.0006966040681905589}","{0.04, 0.0008079313208648547}","{0.063, 0.0011022492067761696}","{0.101, 0.0014594533947066928}","{0.163, 0.0012644239347420353}","{0.287, 0.0019846908231207047}"
