"{0.006, 0.000016942923121194155}","{0.011, 0.00006605099589818496}","{0.016, 0.00013852613073223898}","{0.026, 0.00035965565229617656}","{0.04, 0.0008058044233665425}","{0.063, 0.0018407603906862883}","{0.101, 0.003952652420732017}","{0.163, 0.006775224226624399}","{0.287, 0.009427051465474356}"
"{0.006, 7.87697986301593*^-6}","{0.011, 0.00003218961886826494}","{0.016, 0.00006894732754784149}","{0.026, 0.0001809162813244643}","{0.04, 0.0004150341142530765}","{0.063, 0.000978935664021317}","{0.101, 0.002233876425671233}","{0.163, 0.004303580062930382}","{0.287, 0.006688422234190861}"
"{0.006, 0.000031273991628111984}","{0.011, 0.00011758984963617999}","{0.016, 0.00024384982446697345}","{0.026, 0.000625827323162422}","{0.04, 0.0013709031090945016}","{0.063, 0.003028505099860024}","{0.101, 0.0061010909864610986}","{0.163, 0.00925781995001328}","{0.287, 0.011508454140748673}"
