"{0.006, -0.004510897171764007}","{0.011, -0.008568794027567111}","{0.016, -0.011905852455314184}","{0.026, -0.017161218801876512}","{0.04, -0.02285624825015178}","{0.063, -0.028573524425973152}","{0.101, -0.033724360877668606}","{0.163, -0.03574234321384227}","{0.287, -0.03292797484402857}"
"{0.006, -0.005413076606116809}","{0.011, -0.010282552833080534}","{0.016, -0.01428702294637702}","{0.026, -0.020593462562251814}","{0.04, -0.027427497900182136}","{0.063, -0.03428822931116778}","{0.101, -0.040469233053202325}","{0.163, -0.04289081185661073}","{0.287, -0.03951356981283428}"
"{0.006, -0.0028333027736117053}","{0.011, -0.005437464364558832}","{0.016, -0.007782731685828418}","{0.026, -0.01115604727514591}","{0.04, -0.01500490600298566}","{0.063, -0.01889853356560519}","{0.101, -0.0228478404742941}","{0.163, -0.025364768965152346}","{0.287, -0.0251436644222387}"
