"{0.006, -0.0010920111286376703}","{0.011, -0.0016296082147280687}","{0.016, -0.0018876173764591127}","{0.026, -0.002344162745676405}","{0.04, -0.002724664172246581}","{0.063, -0.0030481456958251895}","{0.101, -0.003454053857124288}","{0.163, -0.0039183668435929485}","{0.287, -0.005174594744459778}"
"{0.006, -0.0015066305397089463}","{0.011, -0.0022438987137181135}","{0.016, -0.002593729922071764}","{0.026, -0.0032138760999727675}","{0.04, -0.0037335476427008472}","{0.063, -0.004189441514150998}","{0.101, -0.004784079895294009}","{0.163, -0.0054663534955996995}","{0.287, -0.007086702034662176}"
"{0.006, -0.000736286100336679}","{0.011, -0.001100533767057536}","{0.016, -0.0012777306522018719}","{0.026, -0.0015919368431112748}","{0.04, -0.001853079133275892}","{0.063, -0.002068997369121526}","{0.101, -0.0023282235450489126}","{0.163, -0.002612687641042019}","{0.287, -0.003468596202754918}"
