"{0.006, -0.00021240752519626865}","{0.011, -0.0008304980060746519}","{0.016, -0.0014638625615054199}","{0.026, -0.002941777206590292}","{0.04, -0.005174260426617665}","{0.063, -0.008235689403469576}","{0.101, -0.012278484478136682}","{0.163, -0.016187223286851984}","{0.287, -0.015398314458555192}"
"{0.006, -0.00043375887082551355}","{0.011, -0.0013488630714172764}","{0.016, -0.002355579681093003}","{0.026, -0.004684077490754862}","{0.04, -0.008148321083375598}","{0.063, -0.012722582702488784}","{0.101, -0.018246773159535684}","{0.163, -0.02239547820618176}","{0.287, -0.019006645975354328}"
"{0.006, -0.0000711753233524646}","{0.011, -0.0004428482180466502}","{0.016, -0.0008138789983363104}","{0.026, -0.0016562022060194706}","{0.04, -0.002949720368122187}","{0.063, -0.004783440137393305}","{0.101, -0.007391562479114065}","{0.163, -0.010451025407720207}","{0.287, -0.011296676062006463}"
