"{0.006, -0.003155323099366329}","{0.011, -0.0055684071143766575}","{0.016, -0.007122802655426179}","{0.026, -0.009214530236723598}","{0.04, -0.011191043618743778}","{0.063, -0.013751986908885508}","{0.101, -0.017311015797600905}","{0.163, -0.020757432181001272}","{0.287, -0.022294474566064888}"
"{0.006, -0.003786387719239595}","{0.011, -0.006682088537251989}","{0.016, -0.008547363186511414}","{0.026, -0.011057436284068316}","{0.04, -0.013429252342492533}","{0.063, -0.016502384290662607}","{0.101, -0.020773218957121083}","{0.163, -0.024908918617201525}","{0.287, -0.026753369479277863}"
"{0.006, -0.0019945910404557533}","{0.011, -0.00359788618147121}","{0.016, -0.004809347068274141}","{0.026, -0.0062280028969802816}","{0.04, -0.00765646803261537}","{0.063, -0.009138093319933661}","{0.101, -0.011380033714966918}","{0.163, -0.013970272631479872}","{0.287, -0.016054252245243626}"
