"{0.0055, -0.2225495398549585}","{0.010499999999999999, -0.16106953165609528}","{0.0165, -0.12848903674328765}","{0.026000000000000002, -0.10235790099395502}","{0.041, -0.08151098045035371}","{0.065, -0.06473682073098212}","{0.10500000000000001, -0.05093465816898535}"
"{0.0055, -0.1335297239129751}","{0.010499999999999999, -0.09664171899365716}","{0.0165, -0.0770934220459726}","{0.026000000000000002, -0.06141474059637301}","{0.041, -0.04890658827021222}","{0.065, -0.03884209243858927}","{0.10500000000000001, -0.030560794901391207}"
"{0.0055, -0.3115693557969419}","{0.010499999999999999, -0.22549734431853338}","{0.0165, -0.1798846514406027}","{0.026000000000000002, -0.143301061391537}","{0.041, -0.11411537263049519}","{0.065, -0.09063154902337496}","{0.10500000000000001, -0.07130852143657948}"
