"{0.006, 0.000030079170690276222}","{0.011, 0.0001070603049094333}","{0.016, 0.0002056163498995891}","{0.026, 0.0004789897164449392}","{0.04, 0.0009391802635901558}","{0.063, 0.0016566286098780578}","{0.101, 0.0026591709487546176}","{0.163, 0.003467915028275828}","{0.287, 0.0029780736864704945}"
"{0.006, 0.000014115325717041396}","{0.011, 0.000052758265445455695}","{0.016, 0.00010363435409776049}","{0.026, 0.00024482831329082817}","{0.04, 0.000493812473902413}","{0.063, 0.0009052777841810724}","{0.101, 0.001554706528751156}","{0.163, 0.0022817771528328688}","{0.287, 0.002057546700643991}"
"{0.006, 0.000055069917848360654}","{0.011, 0.00018874138635978295}","{0.016, 0.0003578631153133585}","{0.026, 0.0008211120381300405}","{0.04, 0.0015671777231636692}","{0.063, 0.002658206620042314}","{0.101, 0.0039854416707839945}","{0.163, 0.004610453757666379}","{0.287, 0.0037482296089854272}"
