"{0.006, -0.00012863800514916726}","{0.011, -0.0002707777960860754}","{0.016, -0.0003271978070679695}","{0.026, -0.00040279014974344506}","{0.04, -0.0004656321089311181}","{0.063, -0.0006059583441534076}","{0.101, -0.0007705852897530502}","{0.163, -0.0006767240672178161}","{0.287, -0.001096780649250974}"
"{0.006, -0.00015436560617900072}","{0.011, -0.0003249333553032905}","{0.016, -0.0003926373684815634}","{0.026, -0.00048334817969213404}","{0.04, -0.0005587585307173417}","{0.063, -0.000727150012984089}","{0.101, -0.0009247023477036601}","{0.163, -0.0008120688806613793}","{0.287, -0.0013579874483291468}"
"{0.006, -0.00006863244287041522}","{0.011, -0.00015638324394498038}","{0.016, -0.00020118605629663593}","{0.026, -0.0002534620871370232}","{0.04, -0.00028778921355065507}","{0.063, -0.0003765803365410529}","{0.101, -0.0004981463450214714}","{0.163, -0.0004683194394949808}","{0.287, -0.000788678756195363}"
