"{0.006, -0.00021321698208221385}","{0.011, -0.0002212245679824042}","{0.016, -0.0002481730090647406}","{0.026, -0.00026017532836691745}","{0.04, -0.000263382916336298}","{0.063, -0.00020785974546165022}","{0.101, 0.000019260888169199586}","{0.163, 0.0006071068816628042}","{0.287, 0.0023448306542831563}"
"{0.006, -0.00025886941090924587}","{0.011, -0.00026475537044018903}","{0.016, -0.00029894395859368926}","{0.026, -0.0003112847846918957}","{0.04, -0.0003205130991241598}","{0.063, -0.00029502272682151}","{0.101, -0.00014757931153246926}","{0.163, 0.00019115029389433778}","{0.287, 0.0011262043501418365}"
"{0.006, -0.0001666674283401256}","{0.011, -0.0001757709793246717}","{0.016, -0.0001959910614924496}","{0.026, -0.0002058290556664331}","{0.04, -0.0001987828246213288}","{0.063, -0.00011338799377597677}","{0.101, 0.0002620304918473871}","{0.163, 0.001280948924064243}","{0.287, 0.004008872430238542}"
