"{0.006, 0.00067207376560455}","{0.011, 0.002063242875858813}","{0.016, 0.003919971666505191}","{0.026, 0.008496451213804426}","{0.04, 0.015911041231001767}","{0.063, 0.028979282786221076}","{0.101, 0.04856998858638935}","{0.163, 0.06901522771821147}","{0.287, 0.08659604633428486}"
"{0.006, 0.0003545867401010843}","{0.011, 0.0011110075308701773}","{0.016, 0.002148617207055769}","{0.026, 0.004764558130106661}","{0.04, 0.009165900055146184}","{0.063, 0.01732396549807298}","{0.101, 0.030619090877107614}","{0.163, 0.047055902551452145}","{0.287, 0.06702129311456115}"
"{0.006, 0.0011284678401888386}","{0.011, 0.0034013693545082665}","{0.016, 0.006368687864610514}","{0.026, 0.013516722758469334}","{0.04, 0.024699747963804884}","{0.063, 0.04346061986471312}","{0.101, 0.06923009713895259}","{0.163, 0.09137591064487702}","{0.287, 0.10391525560114183}"
