"{0.035, -0.2022885669503623}","{0.059, -0.15580426938511246}","{0.105, -0.11679135858277534}","{0.193, -0.08614433156585485}"
"{0.035, -0.12137314017021737}","{0.059, -0.09348256163106748}","{0.105, -0.0700748151496652}","{0.193, -0.05168659893951291}"
"{0.035, -0.2832039937305072}","{0.059, -0.21812597713915743}","{0.105, -0.16350790201588547}","{0.193, -0.12060206419219678}"
