"{0.038, -0.0021621728659958067}","{0.067, -0.005190792085472144}","{0.114, -0.009357720262772705}","{0.178, -0.012633882020156589}","{0.274, -0.012580898576915113}"
"{0.038, -0.002594607439194968}","{0.067, -0.006228950502566572}","{0.114, -0.011229264315327244}","{0.178, -0.015160658424187906}","{0.274, -0.015097078292298135}"
"{0.038, -0.0011115379339326334}","{0.067, -0.0027818364763172896}","{0.114, -0.005399325909550012}","{0.178, -0.008240779136601525}","{0.274, -0.009195117034683951}"
