"{0.036, -0.00020445441555417307}","{0.056, -0.00010809897661436927}","{0.076, 0.000021366866988488494}","{0.098, 0.0002566993198884794}","{0.133, 0.0007020472895701007}","{0.186, 0.00155014979758646}","{0.275, 0.0032561742202242934}"
"{0.036, -0.00027642873611478274}","{0.056, -0.00021891834227627654}","{0.076, -0.00014352719931577884}","{0.098, 0.000010060271529268098}","{0.133, 0.00022074317524277594}","{0.186, 0.0006525128355274505}","{0.275, 0.0015932871057756988}"
"{0.036, -0.00013330619036769817}","{0.056, 1.3795743503306863*^-6}","{0.076, 0.00026512568791776204}","{0.098, 0.0007014868552748691}","{0.133, 0.0014894403806241829}","{0.186, 0.0029115258635216998}","{0.275, 0.00553057947967173}"
