"{0.036, 0.}","{0.056, 0.}","{0.076, 0.}","{0.098, 0.}","{0.133, 0.}","{0.186, 0.}","{0.275, 0.}"
"{0.036, 0.00048607949401750897}","{0.056, -0.0022085449296227046}","{0.076, -0.005362788752356628}","{0.098, -0.007967466255303125}","{0.133, -0.010685203691404925}","{0.186, -0.012263890583394258}","{0.275, -0.01061569864258028}"
"{0.036, 0.0011908515800054629}","{0.056, -0.0011359377320053754}","{0.076, -0.002780719177787124}","{0.098, -0.004154319057162682}","{0.133, -0.00573465525652195}","{0.186, -0.007047355765999859}","{0.275, -0.006657467513195365}"
