"{0.038, 0.0018083837137809645}","{0.067, 0.004220637124862681}","{0.114, 0.007125146761098045}","{0.178, 0.00899616544582301}","{0.274, 0.008449200817562256}"
"{0.038, 0.0009503068853455561}","{0.067, 0.002332944325481847}","{0.114, 0.004276467558965774}","{0.178, 0.0061017525299834575}","{0.274, 0.005996233495394702}"
"{0.038, 0.0030179121014857007}","{0.067, 0.0067104990725703004}","{0.114, 0.010403590005521114}","{0.178, 0.011604502713688543}","{0.274, 0.010377024632444736}"
