"{0.036, -0.0038402493992198954}","{0.056, -0.003932010779756567}","{0.076, -0.003717797609357671}","{0.098, -0.0036911838153897572}","{0.133, -0.003602932265934825}","{0.186, -0.0036599218250925867}","{0.275, -0.004033613429989113}"
"{0.036, -0.004608299279063874}","{0.056, -0.00471841293570788}","{0.076, -0.0044613571312292054}","{0.098, -0.0044294205784677085}","{0.133, -0.00432351871912179}","{0.186, -0.004391906190111104}","{0.275, -0.004840336115986935}"
"{0.036, -0.0028231483496400263}","{0.056, -0.002884015858804195}","{0.076, -0.002715626198921511}","{0.098, -0.0026814143204073847}","{0.133, -0.002590323563868178}","{0.186, -0.00258742143218899}","{0.275, -0.0027866381746926815}"
