"{0.036, -0.409991788110979}","{0.056, -0.3898803879067329}","{0.076, -0.3450605693367682}","{0.098, -0.31142442654837055}","{0.133, -0.2697537949478444}","{0.186, -0.23138908913088269}","{0.275, -0.1969169120369939}"
"{0.036, -0.4919901457331748}","{0.056, -0.46785646548807946}","{0.076, -0.4140726832041218}","{0.098, -0.3737093118580446}","{0.133, -0.32370455393741326}","{0.186, -0.2776669069570592}","{0.275, -0.23630029444439268}"
"{0.036, -0.32799343048878327}","{0.056, -0.31190431032538635}","{0.076, -0.2760484554694146}","{0.098, -0.24913954123869644}","{0.133, -0.21580303595827555}","{0.186, -0.18511127130470617}","{0.275, -0.15753352962959513}"
