x-bin#  P_T       x     A_UL^sin \Delta_stat \Delta_sys  y z Q^2     depol     dilut
1    0.333    0.166    0.017    0.010    0.011    0.752    0.526 1.384    0.885    0.177
2    0.334    0.251    0.062    0.012    0.012    0.704    0.520 1.960    0.858    0.188
3    0.323    0.338    0.058    0.018    0.012    0.679    0.506 2.551    0.856    0.198
4    0.300    0.421    0.042    0.036    0.016    0.667    0.488 3.119    0.869    0.206
