0.15	1.316	0.513	0.533	0.242	0.027	0.017
0.21	1.478	0.516	0.456	0.285	0.022	0.022
0.27	1.648	0.505	0.394	0.324	0.024	0.025
0.33	2.184	0.508	0.38	0.399	0.03	0.029
0.39	2.781	0.509	0.369	0.441	0.043	0.032
0.45	3.053	0.49	0.321	0.448	0.049	0.034
