#: table_doi: 10.17182/hepdata.64754.v1/t7					
#: name: Table 7					
#: description: ASYMUU(COS(2*PHI(HADRON))) asymmetries for positive and negative hadrons as a function of XB. The errors are statistical only.					
#: data_file: Table7.yaml					
#: keyword reactions: MU+ LI6DEUT --> MU+ HADRONS X					
#: keyword observables: ASYM					
#: keyword phrases: Inclusive | Asymmetry Measurement | Muon production | Neutral Current | Deep Inelastic Scattering					
#: 			NEGATIVE HADRONS		
#: W [GEV]			> 5		
#: PT(HADRON) [GeV]			0.1-1.0		
#: RE			MU+ LI6DEUT --> MU+ HADRONS X		
#: Y			0.2-0.9		
#: Z			0.2-0.85		
#: THETALAB(GAMMA*) [MILLIRAD]			< 60		
#: Q**2 [GEV**2]			> 1		
#XB	XB LOW	XB HIGH	ASYMUU(COS(2*PHI(HADRON)))	error +	error -
0.0055	0.003	0.008	0.08	0.014	-0.014
0.0105	0.008	0.013	0.071	0.007	-0.007
0.0165	0.013	0.02	0.057	0.006	-0.006
0.026	0.02	0.032	0.046	0.006	-0.006
0.041	0.032	0.05	0.034	0.008	-0.008
0.065	0.05	0.08	0.025	0.009	-0.009
0.105	0.08	0.13	0	0.014	-0.014
