#  
# HARUT'S data on A1
# DATA FROM TABLE XXX
#
#
#
# PROTON PI0
#x     Q2      z      P_T            A1pi            \deltaA1pi \deltaA1(sys)
0.269  1.673   0.523  0.6200000E-01 0.2676847     0.1007882     0.2600000E-01
0.265  1.663   0.518  0.1880000     0.3044732     0.5587475E-01 0.2000000E-01
0.257  1.667   0.504  0.3120000     0.2668712     0.4301636E-01 0.2000000E-01
0.252  1.658   0.499  0.4380000     0.3181575     0.4229988E-01 0.2000000E-01
0.242  1.666   0.493  0.5620000     0.2676315     0.5099931E-01 0.2200000E-01
0.218  1.652   0.492  0.6880000     0.3037565     0.7128238E-01 0.2500000E-01
0.206  1.729   0.492  0.8120000     0.3247496     0.1505325     0.3300000E-01
0.175  1.563   0.502  0.9380000     0.1587752     0.1672810     0.4400000E-01
