160	0.157	20	0.439	0.2	0.3	                0.09		6.2719	0.3126	0.1051			0.64392
160	0.157	20	0.439	0.2	0.331662479	0.11		6.2175	0.3135	0.1047		0.64392
160	0.157	20	0.439	0.2	0.360555128	0.13		5.0537	0.2711	0.107		0.64392
160	0.157	20	0.439	0.2	0.4	0.16	                	4.8854	0.2244	0.1067			0.64392
160	0.157	20	0.439	0.2	0.424264069	0.18		4.1757	0.2275	0.1101		0.64392
160	0.157	20	0.439	0.2	0.458257569	0.21		4.0316	0.1921	0.1103		0.64392
160	0.157	20	0.439	0.2	0.5	0.25	                	3.2015	0.1547	0.1122			0.64392
160	0.157	20	0.439	0.2	0.538516481	0.29		2.6976	0.1663	0.1183		0.64392
160	0.157	20	0.439	0.2	0.565685425	0.32		2.2901	0.1188	0.1177		0.64392
160	0.157	20	0.439	0.2	0.6164414	0.38		2.062	0.1158	0.1213		0.64392
160	0.157	20	0.439	0.2	0.655743852	0.43		1.5304	0.0907	0.1255		0.64392
160	0.157	20	0.439	0.2	0.7	0.49          		1.1934	0.075	0.1304		0.64392
160	0.157	20	0.439	0.2	0.748331477	0.56		0.8669	0.0599	0.134		0.64392
160	0.157	20	0.439	0.2	0.8	0.64	                	0.6784	0.0496	0.1398			0.64392
160	0.157	20	0.439	0.2	0.848528137	0.72		0.5527	0.0461	0.1473		0.64392
160	0.157	20	0.439	0.2	0.9	0.81	                	0.4254	0.0353	0.1529			0.64392
160	0.157	20	0.439	0.2	0.969535971	0.94		0.2882	0.0257	0.1618		0.64392
160	0.157	20	0.439	0.2	1.029563014	1.06		0.2032	0.0223	0.1753		0.64392
160	0.157	20	0.439	0.2	1.086278049	1.18		0.1256	0.017	0.196		0.64392
160	0.157	20	0.439	0.2	1.144552314	1.31		0.1029	0.014	0.1988		0.64392
160	0.157	20	0.439	0.2	1.204159458	1.45		0.0603	0.0113	0.236		0.64392
160	0.157	20	0.439	0.2	1.264911064	1.6		0.0665	0.0109	0.2252		0.64392
160	0.157	20	0.439	0.2	1.33041347	1.77		0.0368	0.0064	0.2385		0.64392
160	0.157	20	0.439	0.2	1.396424004	1.95		0.0353	0.007	0.2579		0.64392
160	0.157	20	0.439	0.2	1.483239697	2.2		0.0221	0.0051	0.3161		0.64392
160	0.157	20	0.439	0.2	1.58113883	2.5		0.0098	0.0028	0.3221		0.64392
