#<x>   <z>  <PhT> <y> <Q2> HERMES
0.038 0.36 0.50 0.68 1.3
0.067 0.41 0.45 0.59 2.0
0.114 0.43 0.42 0.55 3.2
0.178 0.44 0.41 0.52 4.8
0.274 0.46 0.40 0.48 6.8 
